antecedent,consequent,support,confidence,lift
{14},{12 18 48},0.113,0.158,1.123
{14},{16 18 34},0.195,0.271,1.105
{14},{16 28 34},0.107,0.149,1.139
{14},{6 12 34},0.104,0.146,1.081
{14},{12 16 34},0.112,0.156,1.148
{14},{6 18 28},0.113,0.158,1.106
{14},{18 19 44},0.129,0.181,1.133
{14},{18 28 30},0.118,0.164,1.173
{14},{1 18 44},0.123,0.172,1.113
{14},{19 34 49},0.118,0.165,1.101
{14},{4 34 48},0.108,0.151,1.085
{14},{1 16 34},0.146,0.203,1.083
{14},{1 19 34},0.159,0.223,1.095
{14},{18 30 39},0.11,0.154,1.105
{14},{1 30 32},0.109,0.153,1.079
{14},{30 32 34},0.134,0.187,1.101
{14},{4 19 30},0.109,0.153,1.095
{14},{16 30 34},0.15,0.209,1.092
{14},{6 32 34},0.122,0.17,1.061
{14},{6 30 48},0.12,0.168,1.085
{14},{4 18 30},0.138,0.192,1.115
{14},{15 18 19},0.102,0.143,1.066
{14},{18 21 30},0.107,0.15,1.129
{14},{1 6 48},0.112,0.156,1.105
{14},{6 34 44},0.108,0.151,1.103
{14},{18 28 34},0.136,0.19,1.123
{14},{6 18 32},0.134,0.188,1.065
{14},{4 16 34},0.108,0.151,1.064
{14},{6 19 30},0.136,0.189,1.059
{14},{18 19 42},0.104,0.145,1.11
{14},{1 18 42},0.1,0.14,1.108
{14},{6 18 30},0.174,0.243,1.097
{14},{12 30 34},0.116,0.162,1.139
{14},{4 19 34},0.124,0.173,1.077
{14},{16 18 28},0.109,0.153,1.124
{14},{18 30 46},0.136,0.189,1.118
{14},{4 6 30},0.108,0.15,1.07
{14},{11 18 34},0.106,0.148,1.046
{14},{4 18 34},0.158,0.221,1.079
{14},{16 32 34},0.118,0.165,1.095
{14},{18 21 34},0.114,0.16,1.113
{14},{6 16 19},0.118,0.165,1.023
{14},{1 30 34},0.168,0.234,1.097
{14},{18 19 21},0.105,0.147,1.11
{14},{16 30 48},0.117,0.163,1.105
{14},{1 18 21},0.103,0.143,1.088
{14},{18 30 34},0.216,0.301,1.117
{14},{30 34 49},0.118,0.164,1.092
{14},{6 18 46},0.125,0.175,1.062
{14},{16 34 44},0.105,0.147,1.139
{14},{1 30 49},0.103,0.144,1.132
{14},{19 30 32},0.107,0.149,1.078
{14},{6 19 34},0.154,0.215,1.053
{14},{4 6 18},0.124,0.174,1.043
{14},{12 18 19},0.132,0.184,1.139
{14},{18 30 49},0.133,0.185,1.117
{14},{6 18 34},0.202,0.282,1.077
{14},{16 34 48},0.132,0.184,1.118
{14},{19 26 30},0.108,0.151,1.082
{14},{4 6 34},0.116,0.162,1.029
{14},{6 18 49},0.128,0.178,1.091
{14},{18 20 34},0.111,0.155,1.125
{14},{4 30 34},0.129,0.18,1.075
{14},{18 19 28},0.113,0.158,1.121
{14},{1 18 28},0.114,0.159,1.12
{14},{16 19 30},0.126,0.176,1.058
{14},{1 32 34},0.125,0.175,1.072
{14},{18 32 34},0.164,0.23,1.097
{14},{26 30 34},0.129,0.181,1.105
{14},{18 30 48},0.165,0.23,1.123
{14},{12 19 30},0.103,0.144,1.129
{14},{18 26 48},0.12,0.168,1.105
{14},{12 18 30},0.133,0.186,1.141
{14},{18 32 49},0.104,0.145,1.097
{14},{18 34 44},0.151,0.211,1.123
{14},{19 30 34},0.168,0.234,1.089
{14},{1 6 19},0.128,0.179,1.072
{14},{6 16 18},0.157,0.219,1.074
{14},{6 18 48},0.151,0.211,1.109
{14},{16 18 46},0.116,0.162,1.094
{14},{18 19 39},0.105,0.147,1.075
{14},{16 19 34},0.148,0.207,1.091
{14},{19 34 46},0.115,0.161,1.112
{14},{19 30 49},0.11,0.154,1.115
{14},{18 34 48},0.187,0.261,1.11
{14},{1 12 18},0.124,0.173,1.102
{14},{1 16 19},0.12,0.168,1.046
{14},{6 30 32},0.112,0.156,1.085
{14},{18 19 30},0.186,0.26,1.097
{14},{18 34 38},0.107,0.149,1.117
{14},{1 34 49},0.106,0.148,1.064
{14},{12 19 34},0.111,0.155,1.126
{14},{1 18 30},0.181,0.252,1.122
{14},{16 18 49},0.124,0.173,1.085
{14},{12 18 34},0.152,0.212,1.134
{14},{18 19 20},0.101,0.142,1.159
{14},{34 48 49},0.101,0.141,1.081
{14},{6 28 34},0.106,0.148,1.098
{14},{30 34 39},0.102,0.143,1.101
{14},{34 46 48},0.102,0.143,1.098
{14},{6 26 30},0.104,0.145,1.105
{14},{1 6 30},0.137,0.191,1.094
{14},{34 44 48},0.102,0.142,1.121
{14},{32 34 48},0.109,0.152,1.078
{14},{1 4 18},0.125,0.175,1.068
{14},{18 34 42},0.122,0.17,1.122
{14},{18 19 46},0.126,0.176,1.101
{14},{1 18 46},0.119,0.166,1.076
{14},{19 34 44},0.116,0.162,1.137
{14},{26 34 48},0.108,0.151,1.113
{14},{16 19 48},0.112,0.157,1.101
{14},{18 19 34},0.215,0.3,1.096
{14},{1 18 34 48},0.113,0.158,1.126
{14},{6 18 19 30},0.105,0.147,1.104
{14},{18 19 30 34},0.133,0.186,1.123
{14},{18 19 26 34},0.1,0.14,1.144
{14},{18 26 30 34},0.105,0.146,1.165
{14},{6 18 34 48},0.109,0.152,1.123
{14},{1 18 19 30},0.108,0.151,1.127
{14},{6 16 18 34},0.11,0.153,1.098
{14},{16 18 30 34},0.113,0.158,1.121
{14},{6 18 30 34},0.122,0.171,1.106
{14},{1 19 30 34},0.104,0.145,1.13
{14},{16 18 19 34},0.115,0.161,1.102
{14},{18 19 30 48},0.102,0.142,1.135
{14},{1 18 30 34},0.131,0.183,1.133
{14},{1 6 18 30},0.103,0.144,1.111
{14},{6 18 19 34},0.121,0.169,1.086
{14},{18 30 32 34},0.103,0.143,1.143
{14},{18 30 34 48},0.119,0.167,1.154
{14},{1 18 19 34},0.128,0.178,1.111
{14},{1 16 18 34},0.113,0.158,1.098
{14},{1 6 18 34},0.121,0.169,1.085
{14},{18 19 34 48},0.113,0.157,1.156
{14},{4 18 30 34},0.1,0.14,1.122
{14},{16 18 34 48},0.102,0.143,1.142
{14},{1 18 32 34},0.103,0.144,1.112
{14},{1 6 18 19},0.101,0.141,1.087
{5},{30},0.127,0.56,0.995
{5},{6},0.122,0.54,1.023
{5},{18},0.166,0.734,1.041
{5},{16},0.121,0.534,1.04
{5},{48},0.119,0.525,1.096
{5},{34},0.152,0.672,1.049
{5},{19},0.119,0.525,0.973
{5},{1},0.115,0.509,0.979
{5},{14},0.172,0.756,1.055
{5},{14 18},0.129,0.571,1.082
{5},{14 34},0.117,0.515,1.084
{5},{18 34},0.115,0.509,1.091
{39},{12},0.115,0.365,1.0
{39},{32},0.13,0.411,0.995
{39},{49},0.13,0.413,1.062
{39},{46},0.129,0.408,1.095
{39},{48},0.162,0.512,1.07
{39},{1},0.175,0.552,1.062
{39},{30},0.193,0.61,1.084
{39},{6},0.17,0.539,1.021
{39},{19},0.178,0.563,1.043
{39},{34},0.21,0.663,1.035
{39},{42},0.11,0.348,1.098
{39},{26},0.128,0.404,0.981
{39},{29},0.1,0.317,1.13
{39},{44},0.12,0.379,1.016
{39},{28},0.115,0.364,1.064
{39},{18},0.229,0.723,1.026
{39},{14},0.234,0.741,1.034
{39},{16},0.17,0.537,1.047
{39},{21},0.102,0.324,1.057
{39},{4},0.129,0.409,1.03
{39},{18 34},0.156,0.494,1.059
{39},{14 16},0.131,0.415,1.093
{39},{18 48},0.12,0.381,1.096
{39},{30 48},0.104,0.331,1.171
{39},{14 30},0.146,0.464,1.101
{39},{1 19},0.106,0.337,1.168
{39},{1 18},0.128,0.404,1.045
{39},{14 32},0.101,0.32,1.069
{39},{18 30},0.139,0.441,1.113
{39},{6 34},0.117,0.371,1.052
{39},{14 49},0.102,0.322,1.115
{39},{6 19},0.1,0.317,1.062
{39},{6 18},0.126,0.4,1.048
{39},{14 19},0.134,0.423,1.06
{39},{16 34},0.115,0.363,1.093
{39},{14 18},0.175,0.554,1.052
{39},{19 30},0.112,0.355,1.122
{39},{1 34},0.119,0.377,1.071
{39},{16 18},0.124,0.394,1.068
{39},{6 14},0.129,0.408,1.051
{39},{19 34},0.124,0.394,1.095
{39},{30 34},0.13,0.411,1.116
{39},{18 19},0.137,0.433,1.083
{39},{34 48},0.109,0.346,1.095
{39},{1 14},0.132,0.417,1.092
{39},{6 30},0.104,0.331,1.078
{39},{14 34},0.163,0.516,1.088
{39},{16 30},0.102,0.322,1.111
{39},{1 30},0.112,0.355,1.145
{39},{14 48},0.125,0.396,1.112
{39},{14 18 34},0.126,0.398,1.105
{39},{14 18 30},0.11,0.35,1.129
{39},{14 18 19},0.105,0.334,1.092
{39},{14 30 34},0.102,0.324,1.148
{29},{34},0.18,0.64,1.0
{29},{44},0.112,0.4,1.072
{29},{19},0.159,0.568,1.052
{29},{1},0.148,0.529,1.017
{29},{26},0.114,0.408,0.99
{29},{6},0.159,0.569,1.079
{29},{18},0.212,0.755,1.071
{29},{14},0.201,0.718,1.002
{29},{49},0.108,0.385,0.989
{29},{30},0.163,0.583,1.036
{29},{46},0.103,0.369,0.991
{29},{4},0.116,0.413,1.041
{29},{39},0.1,0.357,1.13
{29},{12},0.11,0.394,1.079
{29},{16},0.153,0.546,1.065
{29},{48},0.134,0.479,0.999
{29},{32},0.12,0.427,1.035
{29},{1 14},0.111,0.398,1.041
{29},{18 34},0.138,0.493,1.057
{29},{19 34},0.107,0.383,1.066
{29},{14 16},0.115,0.411,1.082
{29},{14 48},0.101,0.362,1.017
{29},{6 34},0.103,0.367,1.041
{29},{1 18},0.114,0.407,1.052
{29},{18 48},0.104,0.371,1.068
{29},{1 34},0.1,0.357,1.015
{29},{6 18},0.123,0.439,1.151
{29},{14 19},0.117,0.417,1.043
{29},{14 18},0.157,0.561,1.064
{29},{30 34},0.107,0.383,1.042
{29},{14 30},0.124,0.444,1.055
{29},{16 18},0.119,0.425,1.153
{29},{6 14},0.118,0.421,1.087
{29},{14 34},0.134,0.479,1.008
{29},{18 19},0.124,0.442,1.105
{29},{18 30},0.122,0.437,1.101
{29},{14 18 34},0.106,0.38,1.054
{34},{29},0.18,0.28,1.0
{34},{6},0.352,0.55,1.043
{34},{3},0.162,0.253,1.06
{34},{24},0.141,0.221,1.039
{34},{18},0.466,0.728,1.033
{34},{13},0.103,0.161,1.084
{34},{14},0.475,0.741,1.034
{34},{31},0.109,0.17,1.026
{34},{21},0.196,0.306,0.999
{34},{41},0.142,0.221,1.07
{34},{4},0.269,0.42,1.059
{34},{38},0.179,0.28,1.04
{34},{49},0.254,0.396,1.018
{34},{46},0.253,0.395,1.06
{34},{28},0.23,0.359,1.048
{34},{12},0.238,0.371,1.015
{34},{35},0.148,0.231,1.044
{34},{32},0.277,0.433,1.049
{34},{0},0.185,0.289,1.017
{34},{2},0.187,0.292,1.07
{34},{37},0.159,0.248,1.064
{34},{39},0.21,0.327,1.035
{34},{16},0.332,0.519,1.011
{34},{33},0.118,0.184,1.092
{34},{5},0.152,0.238,1.049
{34},{43},0.14,0.218,1.05
{34},{20},0.177,0.276,1.02
{34},{11},0.19,0.296,1.049
{34},{48},0.316,0.494,1.031
{34},{42},0.209,0.326,1.027
{34},{19},0.36,0.561,1.041
{34},{47},0.135,0.211,1.023
{34},{44},0.25,0.39,1.044
{34},{1},0.352,0.549,1.057
{34},{15},0.202,0.315,1.03
{34},{30},0.368,0.574,1.02
{34},{26},0.27,0.421,1.02
{34},{2 18},0.142,0.222,1.098
{34},{6 32},0.16,0.25,1.067
{34},{16 30},0.192,0.299,1.033
{34},{18 39},0.156,0.244,1.066
{34},{4 12},0.104,0.163,1.048
{34},{18 24},0.106,0.166,1.064
{34},{14 43},0.11,0.171,1.104
{34},{6 44},0.137,0.214,1.041
{34},{18 29},0.138,0.216,1.019
{34},{14 32},0.209,0.327,1.091
{34},{14 37},0.123,0.193,1.102
{34},{1 30},0.214,0.333,1.075
{34},{4 44},0.109,0.17,1.081
{34},{14 48},0.242,0.378,1.062
{34},{6 48},0.177,0.276,1.077
{34},{4 32},0.119,0.185,1.1
{34},{11 19},0.113,0.177,1.099
{34},{2 6},0.104,0.163,1.055
{34},{12 26},0.103,0.161,1.051
{34},{18 30},0.27,0.421,1.061
{34},{4 48},0.139,0.218,1.104
{34},{14 38},0.141,0.22,1.076
{34},{11 18},0.141,0.221,1.078
{34},{18 26},0.203,0.316,1.056
{34},{6 38},0.104,0.162,1.101
{34},{2 14},0.143,0.223,1.104
{34},{28 30},0.134,0.21,1.07
{34},{16 32},0.15,0.235,1.049
{34},{1 20},0.109,0.171,1.108
{34},{18 21},0.143,0.224,1.006
{34},{18 46},0.194,0.303,1.082
{34},{6 19},0.204,0.319,1.069
{34},{16 26},0.149,0.232,1.047
{34},{3 30},0.101,0.158,1.111
{34},{1 32},0.163,0.254,1.127
{34},{19 29},0.107,0.168,1.054
{34},{6 18},0.262,0.409,1.071
{34},{6 28},0.135,0.21,1.078
{34},{26 28},0.1,0.156,1.064
{34},{18 49},0.188,0.293,1.036
{34},{14 19},0.275,0.429,1.075
{34},{1 44},0.139,0.218,1.091
{34},{14 47},0.101,0.158,1.028
{34},{14 18},0.36,0.562,1.067
{34},{14 28},0.179,0.279,1.086
{34},{5 14},0.117,0.182,1.063
{34},{4 19},0.161,0.251,1.1
{34},{14 35},0.116,0.182,1.079
{34},{1 48},0.179,0.279,1.094
{34},{16 49},0.138,0.216,1.016
{34},{4 18},0.205,0.319,1.1
{34},{0 16},0.102,0.159,1.03
{34},{19 21},0.118,0.185,1.06
{34},{18 43},0.11,0.172,1.089
{34},{16 42},0.115,0.18,1.06
{34},{19 26},0.156,0.243,1.046
{34},{18 32},0.209,0.327,1.076
{34},{18 37},0.121,0.189,1.128
{34},{1 38},0.108,0.169,1.119
{34},{32 49},0.114,0.179,1.034
{34},{16 19},0.19,0.296,1.035
{34},{18 48},0.235,0.367,1.056
{34},{26 30},0.163,0.255,1.043
{34},{16 18},0.246,0.383,1.04
{34},{2 30},0.107,0.167,1.065
{34},{30 44},0.144,0.224,1.037
{34},{28 48},0.12,0.188,1.101
{34},{6 14},0.265,0.414,1.068
{34},{26 46},0.109,0.171,1.067
{34},{18 38},0.134,0.209,1.061
{34},{1 42},0.115,0.18,1.087
{34},{30 48},0.191,0.297,1.054
{34},{19 49},0.15,0.234,1.069
{34},{19 20},0.105,0.165,1.052
{34},{19 42},0.117,0.182,1.043
{34},{20 30},0.104,0.163,1.054
{34},{4 6},0.157,0.246,1.098
{34},{15 19},0.115,0.18,1.033
{34},{1 19},0.203,0.317,1.1
{34},{30 38},0.107,0.167,1.061
{34},{4 14},0.201,0.313,1.083
{34},{15 18},0.149,0.233,1.048
{34},{6 39},0.117,0.183,1.074
{34},{0 30},0.113,0.177,1.055
{34},{1 2},0.112,0.174,1.149
{34},{18 19},0.274,0.428,1.07
{34},{1 4},0.153,0.239,1.117
{34},{30 42},0.126,0.196,1.047
{34},{46 48},0.13,0.203,1.07
{34},{18 28},0.169,0.264,1.081
{34},{6 29},0.103,0.16,1.006
{34},{26 44},0.106,0.166,1.056
{34},{44 48},0.127,0.198,1.068
{34},{1 6},0.201,0.314,1.105
{34},{48 49},0.13,0.204,1.067
{34},{18 35},0.107,0.167,1.087
{34},{14 44},0.195,0.305,1.077
{34},{1 14},0.266,0.415,1.085
{34},{26 48},0.135,0.211,1.032
{34},{14 41},0.105,0.165,1.077
{34},{3 18},0.121,0.189,1.081
{34},{16 39},0.115,0.179,1.055
{34},{6 26},0.149,0.232,1.048
{34},{4 26},0.12,0.187,1.09
{34},{15 16},0.111,0.173,1.058
{34},{12 46},0.101,0.157,1.076
{34},{1 12},0.141,0.22,1.092
{34},{16 21},0.11,0.171,1.029
{34},{1 39},0.119,0.186,1.065
{34},{14 20},0.136,0.212,1.036
{34},{3 14},0.123,0.192,1.096
{34},{6 49},0.146,0.228,1.063
{34},{19 28},0.128,0.2,1.053
{34},{14 42},0.16,0.25,1.069
{34},{19 39},0.124,0.194,1.092
{34},{6 42},0.114,0.179,1.067
{34},{1 29},0.1,0.156,1.055
{34},{4 49},0.112,0.176,1.103
{34},{2 19},0.113,0.177,1.126
{34},{16 46},0.134,0.209,1.065
{34},{1 15},0.108,0.168,1.064
{34},{32 46},0.116,0.181,1.111
{34},{11 14},0.139,0.217,1.088
{34},{11 16},0.102,0.16,1.039
{34},{21 30},0.117,0.183,1.003
{34},{30 39},0.13,0.203,1.051
{34},{1 26},0.149,0.233,1.07
{34},{28 32},0.1,0.157,1.058
{34},{5 18},0.115,0.18,1.082
{34},{0 19},0.104,0.163,1.076
{34},{18 44},0.188,0.294,1.084
{34},{19 30},0.215,0.335,1.059
{34},{1 21},0.118,0.185,1.064
{34},{1 46},0.145,0.227,1.124
{34},{0 18},0.137,0.215,1.044
{34},{15 30},0.127,0.198,1.073
{34},{12 48},0.122,0.19,1.045
{34},{18 41},0.104,0.162,1.108
{34},{19 46},0.144,0.226,1.095
{34},{39 48},0.109,0.171,1.056
{34},{6 11},0.105,0.164,1.09
{34},{30 32},0.17,0.265,1.082
{34},{16 44},0.129,0.201,1.028
{34},{1 49},0.139,0.217,1.06
{34},{29 30},0.107,0.168,1.026
{34},{32 44},0.115,0.179,1.091
{34},{6 16},0.184,0.286,1.029
{34},{16 48},0.165,0.257,1.038
{34},{30 46},0.153,0.24,1.061
{34},{18 20},0.138,0.215,1.067
{34},{32 48},0.141,0.22,1.075
{34},{0 6},0.103,0.161,1.051
{34},{18 42},0.151,0.236,1.055
{34},{11 30},0.12,0.188,1.091
{34},{14 16},0.257,0.401,1.055
{34},{12 16},0.136,0.212,1.055
{34},{0 14},0.143,0.223,1.049
{34},{14 39},0.163,0.255,1.087
{34},{19 44},0.142,0.222,1.044
{34},{26 32},0.119,0.186,1.095
{34},{4 16},0.142,0.222,1.087
{34},{30 49},0.15,0.235,1.025
{34},{19 32},0.158,0.247,1.095
{34},{14 24},0.108,0.169,1.075
{34},{12 19},0.138,0.216,1.058
{34},{6 15},0.113,0.176,1.075
{34},{14 29},0.134,0.209,1.041
{34},{19 48},0.178,0.277,1.035
{34},{16 28},0.131,0.204,1.089
{34},{12 18},0.187,0.292,1.072
{34},{15 48},0.104,0.163,1.048
{34},{14 15},0.151,0.236,1.068
{34},{19 38},0.103,0.161,1.095
{34},{6 21},0.121,0.189,1.052
{34},{14 30},0.282,0.441,1.046
{34},{0 1},0.106,0.166,1.09
{34},{14 26},0.207,0.322,1.056
{34},{6 30},0.208,0.324,1.058
{34},{1 16},0.188,0.293,1.056
{34},{46 49},0.105,0.165,1.103
{34},{14 21},0.152,0.237,1.019
{34},{14 46},0.192,0.3,1.075
{34},{4 30},0.167,0.261,1.08
{34},{6 46},0.149,0.233,1.104
{34},{1 11},0.114,0.178,1.147
{34},{6 12},0.135,0.21,1.041
{34},{12 30},0.142,0.221,1.03
{34},{4 46},0.114,0.178,1.125
{34},{26 49},0.108,0.169,1.028
{34},{1 18},0.271,0.422,1.091
{34},{1 28},0.132,0.206,1.094
{34},{6 20},0.101,0.158,1.033
{34},{42 48},0.105,0.164,1.024
{34},{14 49},0.192,0.3,1.038
{34},{12 14},0.188,0.294,1.053
{34},{1 14 18},0.211,0.329,1.123
{34},{18 30 46},0.117,0.183,1.082
{34},{14 28 30},0.107,0.168,1.088
{34},{14 19 48},0.144,0.225,1.074
{34},{16 18 26},0.116,0.181,1.081
{34},{6 14 30},0.162,0.253,1.077
{34},{6 14 26},0.114,0.179,1.071
{34},{1 6 14},0.155,0.243,1.133
{34},{1 30 32},0.105,0.164,1.156
{34},{16 18 46},0.104,0.162,1.091
{34},{14 30 46},0.12,0.187,1.069
{34},{6 14 46},0.113,0.177,1.132
{34},{18 30 49},0.11,0.172,1.04
{34},{1 30 48},0.112,0.176,1.117
{34},{6 16 30},0.108,0.168,1.027
{34},{16 18 49},0.106,0.166,1.044
{34},{14 19 28},0.102,0.159,1.082
{34},{12 18 19},0.114,0.179,1.106
{34},{4 19 30},0.1,0.157,1.124
{34},{6 14 49},0.115,0.179,1.091
{34},{1 14 28},0.105,0.165,1.129
{34},{1 18 26},0.117,0.182,1.106
{34},{14 16 26},0.119,0.185,1.081
{34},{2 14 18},0.112,0.174,1.122
{34},{18 30 48},0.144,0.226,1.099
{34},{14 16 46},0.108,0.168,1.106
{34},{14 30 44},0.115,0.179,1.057
{34},{1 18 30},0.162,0.253,1.123
{34},{14 18 39},0.126,0.196,1.121
{34},{0 14 18},0.11,0.171,1.081
{34},{14 15 18},0.114,0.178,1.083
{34},{16 18 48},0.125,0.195,1.064
{34},{14 30 48},0.151,0.235,1.082
{34},{6 14 48},0.137,0.214,1.102
{34},{1 18 46},0.114,0.178,1.15
{34},{6 30 32},0.1,0.157,1.088
{34},{14 18 29},0.106,0.166,1.057
{34},{14 16 49},0.108,0.168,1.059
{34},{1 14 26},0.118,0.184,1.111
{34},{6 18 26},0.113,0.177,1.076
{34},{1 14 46},0.11,0.172,1.136
{34},{6 18 46},0.12,0.187,1.134
{34},{14 18 26},0.163,0.255,1.099
{34},{1 4 18},0.12,0.187,1.144
{34},{1 18 32},0.13,0.203,1.152
{34},{6 14 16},0.142,0.222,1.064
{34},{14 18 46},0.151,0.236,1.096
{34},{12 16 18},0.108,0.169,1.11
{34},{1 16 30},0.115,0.18,1.09
{34},{18 19 32},0.126,0.196,1.117
{34},{16 18 19},0.146,0.228,1.059
{34},{6 18 49},0.114,0.179,1.093
{34},{1 18 44},0.111,0.173,1.117
{34},{1 12 14},0.112,0.176,1.129
{34},{18 19 44},0.11,0.172,1.078
{34},{14 18 49},0.15,0.234,1.067
{34},{1 18 48},0.14,0.219,1.128
{34},{6 12 18},0.104,0.163,1.076
{34},{14 19 32},0.121,0.189,1.12
{34},{1 6 48},0.104,0.163,1.155
{34},{1 14 44},0.112,0.175,1.116
{34},{18 28 30},0.1,0.156,1.115
{34},{1 4 14},0.115,0.18,1.129
{34},{1 14 48},0.14,0.219,1.123
{34},{6 16 19},0.105,0.164,1.018
{34},{6 18 48},0.135,0.211,1.107
{34},{14 19 26},0.123,0.192,1.09
{34},{6 16 18},0.139,0.218,1.066
{34},{1 18 19},0.16,0.251,1.124
{34},{16 18 30},0.141,0.22,1.069
{34},{1 18 28},0.101,0.158,1.114
{34},{14 16 18},0.195,0.304,1.083
{34},{14 16 28},0.107,0.167,1.151
{34},{1 6 16},0.108,0.169,1.067
{34},{6 12 14},0.104,0.163,1.053
{34},{12 14 16},0.112,0.174,1.094
{34},{14 19 49},0.118,0.185,1.082
{34},{4 14 48},0.108,0.169,1.14
{34},{1 14 16},0.146,0.228,1.093
{34},{18 30 32},0.125,0.196,1.112
{34},{18 30 44},0.109,0.17,1.074
{34},{1 14 19},0.159,0.249,1.132
{34},{14 30 32},0.134,0.209,1.116
{34},{14 16 30},0.15,0.234,1.064
{34},{6 14 32},0.122,0.19,1.102
{34},{16 19 30},0.113,0.176,1.055
{34},{1 4 30},0.101,0.158,1.133
{34},{6 14 44},0.108,0.169,1.089
{34},{14 18 28},0.136,0.212,1.106
{34},{4 14 16},0.108,0.169,1.105
{34},{1 16 19},0.112,0.174,1.089
{34},{4 6 18},0.122,0.191,1.145
{34},{1 16 18},0.144,0.225,1.075
{34},{1 6 30},0.124,0.194,1.113
{34},{16 30 48},0.102,0.159,1.075
{34},{12 14 30},0.116,0.181,1.064
{34},{4 14 19},0.124,0.194,1.121
{34},{11 14 18},0.106,0.166,1.108
{34},{4 14 18},0.158,0.247,1.123
{34},{14 16 32},0.118,0.184,1.114
{34},{14 18 21},0.114,0.179,1.022
{34},{1 14 30},0.168,0.262,1.097
{34},{6 18 30},0.154,0.241,1.088
{34},{14 18 30},0.216,0.337,1.088
{34},{14 30 49},0.118,0.184,1.036
{34},{14 16 44},0.105,0.164,1.076
{34},{1 19 30},0.128,0.2,1.131
{34},{6 14 19},0.154,0.241,1.091
{34},{4 6 30},0.1,0.156,1.112
{34},{6 14 18},0.202,0.316,1.09
{34},{4 18 48},0.109,0.17,1.147
{34},{14 16 48},0.132,0.206,1.071
{34},{4 16 18},0.11,0.171,1.116
{34},{18 19 26},0.122,0.191,1.086
{34},{4 6 14},0.116,0.181,1.106
{34},{18 26 30},0.125,0.196,1.095
{34},{14 18 20},0.111,0.173,1.087
{34},{4 14 30},0.129,0.201,1.094
{34},{6 18 32},0.124,0.194,1.103
{34},{1 14 32},0.125,0.195,1.178
{34},{18 19 30},0.166,0.259,1.093
{34},{14 18 32},0.164,0.257,1.114
{34},{14 26 30},0.129,0.202,1.078
{34},{6 18 44},0.107,0.167,1.091
{34},{6 19 30},0.123,0.193,1.078
{34},{18 19 46},0.116,0.181,1.134
{34},{14 18 44},0.151,0.236,1.114
{34},{14 19 30},0.168,0.261,1.087
{34},{1 12 18},0.115,0.18,1.147
{34},{19 30 48},0.111,0.174,1.051
{34},{12 18 30},0.115,0.18,1.101
{34},{1 18 49},0.106,0.166,1.074
{34},{4 18 19},0.123,0.192,1.11
{34},{14 16 19},0.148,0.232,1.082
{34},{14 19 46},0.115,0.18,1.115
{34},{6 30 48},0.109,0.17,1.099
{34},{14 18 48},0.187,0.292,1.081
{34},{18 19 49},0.115,0.18,1.067
{34},{1 19 48},0.103,0.161,1.089
{34},{18 46 48},0.102,0.16,1.092
{34},{18 32 48},0.107,0.168,1.105
{34},{14 18 38},0.107,0.167,1.092
{34},{1 14 49},0.106,0.166,1.07
{34},{12 14 19},0.111,0.174,1.071
{34},{6 18 19},0.155,0.242,1.091
{34},{12 14 18},0.152,0.237,1.102
{34},{18 26 48},0.104,0.162,1.065
{34},{14 48 49},0.101,0.158,1.077
{34},{6 14 28},0.106,0.166,1.11
{34},{14 30 39},0.102,0.16,1.092
{34},{14 46 48},0.102,0.16,1.104
{34},{1 6 19},0.121,0.189,1.13
{34},{14 44 48},0.102,0.159,1.101
{34},{14 32 48},0.109,0.17,1.109
{34},{14 18 42},0.122,0.19,1.1
{34},{1 6 18},0.156,0.243,1.118
{34},{18 19 48},0.136,0.212,1.058
{34},{4 18 30},0.124,0.194,1.126
{34},{14 19 44},0.116,0.181,1.092
{34},{14 26 48},0.108,0.169,1.078
{34},{6 19 48},0.105,0.165,1.086
{34},{16 18 32},0.115,0.179,1.072
{34},{14 18 19},0.215,0.336,1.099
{34},{1 14 18 48},0.113,0.177,1.15
{34},{14 18 19 30},0.133,0.208,1.119
{34},{14 18 19 26},0.1,0.156,1.123
{34},{14 18 26 30},0.105,0.164,1.129
{34},{6 14 18 48},0.109,0.17,1.121
{34},{6 14 16 18},0.11,0.171,1.09
{34},{14 16 18 30},0.113,0.177,1.102
{34},{6 14 18 30},0.122,0.191,1.097
{34},{1 14 19 30},0.104,0.162,1.167
{34},{14 16 18 19},0.115,0.18,1.101
{34},{1 14 18 30},0.131,0.205,1.135
{34},{6 14 18 19},0.121,0.189,1.104
{34},{14 18 30 32},0.103,0.16,1.142
{34},{14 18 30 48},0.119,0.186,1.129
{34},{1 14 18 19},0.128,0.199,1.154
{34},{1 14 16 18},0.113,0.177,1.113
{34},{1 6 14 18},0.121,0.189,1.142
{34},{14 18 19 48},0.113,0.176,1.092
{34},{4 14 18 30},0.1,0.156,1.134
{34},{14 16 18 48},0.102,0.16,1.089
{34},{1 14 18 32},0.103,0.161,1.204
{16},{12},0.201,0.391,1.071
{16},{49},0.212,0.414,1.064
{16},{30},0.29,0.565,1.003
{16},{14},0.38,0.74,1.032
{16},{0},0.154,0.3,1.057
{16},{2},0.144,0.282,1.033
{16},{21},0.166,0.324,1.058
{16},{48},0.248,0.483,1.009
{16},{42},0.17,0.33,1.041
{16},{4},0.204,0.398,1.003
{16},{20},0.145,0.282,1.043
{16},{19},0.286,0.558,1.034
{16},{47},0.114,0.222,1.078
{16},{44},0.196,0.381,1.021
